,amount_favorite,amount_retweet,date,followers,following,retweet,screen_name,tweet,tweet_id,verified
26,0.0,0.0,2020-06-02 14:23:01,1454.0,10.0,0.0,dailypoliticaln,AES $AES Price Target Lowered to $17.00 at JPMorgan Chase &amp; Co. https://t.co/Gu5Sd09PKW,1.2678240429222666e+18,0.0
27,0.0,0.0,2020-06-03 21:41:51,6022.0,27.0,0.0,MarketChmln,$AES #Aes declines in after hours trading. See vwap price action. https://t.co/AtyBjkmsXc https://t.co/jTGSyihnQz,1.268296865893757e+18,0.0
28,0.0,0.0,2020-06-07 07:43:44,839.0,11.0,0.0,intercooleronli,"AES $AES Earning Somewhat Positive News Coverage, InfoTrie Reports  https://t.co/MD085dcY3T #investingnews",1.269535501222101e+18,0.0
29,0.0,0.0,2020-06-04 12:55:18,2101.0,11.0,0.0,optioncharts,$AES Implied Volatility expiration 06/19/2020 #maxpain #options https://t.co/qEEcD9lgOV https://t.co/qsUVQfPsYz,1.2685267430628188e+18,0.0
30,0.0,0.0,2020-06-04 16:37:52,1210.0,92.0,0.0,m_almanasrah,"تخطط شركة Siemens-AES JV لبطاريات أيون الليثيوم الضخمة من طراز Tesla العملاقه 
$SIEGY $AES 

#الفوركس #الأخبـار #اقتصاد #الاسهم_السعودية #السعوديه #تداول #استثمار #النفط #الاسهم_العالميه #اليورو https://t.co/SqjhcfhEDo",1.268582753999696e+18,0.0
31,0.0,0.0,2020-06-03 01:35:18,1875.0,759.0,0.0,UncleStock,$DJU US Dow Jones Utility top: $NEE $EXC $AES. Selected by our stock screener: https://t.co/PRPYP6oamH #stocks  #valueinvesting #valuation,1.2679932284915712e+18,0.0
32,0.0,0.0,2020-06-02 14:27:10,7182.0,769.0,0.0,Tickeron,"$AES's Aroon indicator drops into Downtrend on May 19, 2020. View odds for this and other indicators: https://t.co/bE0gzi1hIT #AES #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/OvwzKudAYJ",1.267825088067285e+18,0.0
33,0.0,0.0,2020-06-02 18:02:24,9423.0,74.0,0.0,SwingTradeBot,50 DMA Resistance today: $AES ... https://t.co/mnYaiRq1wk,1.2678792529108828e+18,0.0
34,0.0,0.0,2020-06-02 19:40:39,255.0,0.0,0.0,mhedberg718,$AES this is capitalism 3.70 % change recently https://t.co/OjhZni5N5N,1.267903979070972e+18,0.0
35,0.0,0.0,2020-06-05 04:07:22,5339.0,184.0,0.0,newsfilterio,AES Announces Early Results of Tender Offers For Certain Outstanding Notes $AES https://t.co/9KERk7RPsi,1.2687562738242355e+18,0.0
36,1.0,0.0,2020-06-06 14:16:00,636.0,346.0,0.0,etfAction,"$XLU +2.51%

Biggest winners:

$AES+14.49% $PPL+7.52% $DTE+6.79%

Biggest losers:

None, all 28 stocks were up on the week. https://t.co/WCNhol17Fk",1.2692718285281649e+18,0.0
37,0.0,0.0,2020-06-06 13:56:27,7182.0,769.0,0.0,Tickeron,"$AES's 10-day Moving Average moved above its 50-day Moving Average on June 5, 2020. View odds for this and other indicators: https://t.co/V1LFKCyH8r #AES #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/HEw034ISxW",1.269266908114645e+18,0.0
38,0.0,0.0,2020-06-03 13:35:59,9423.0,74.0,0.0,SwingTradeBot,Rose Above Upper Bollinger Band today: $KMB $M $CUTR $GSAT $SLRX $SKT $ABEV $USCR $AA $CC $ELP $AES $SAN $C $VJET $LRCX $HDV $WFC $WRI $MORN ... https://t.co/AyIukUGmib,1.2681745924320133e+18,0.0
39,0.0,0.0,2020-06-07 18:00:08,5314.0,5843.0,0.0,chris_norcal,$AES | Custom Technical Chart for The Aes Corp via @Barchart https://t.co/lJ7uTlou41 https://t.co/bXs9J3FmZl,1.2696906234239631e+18,0.0
40,0.0,1.0,2020-06-04 00:40:03,642.0,3.0,0.0,simonstradeinc,"Tomorrow's #watchlist for #NYSE, #NASDAQ: $AA, $AAL, $AAOI, $AAPL, $ABEV, $ABMD, $ABR, $ACC, $ACN, $ACRE, $ADM, $ADP, $ADSK, $ADT, $AEE, $AEG, $AEO, $AEP, $AES, $AESE, $AFG, $AFIN, $AFL, $AFMD, $AGEN, $AGR, $ALGN, $ALGT, $ALL, $ALLY, $ALT, $AM, $AMAG, $AMAT, $AMC, $AMCR, $AMP",1.2683417116522455e+18,0.0
41,0.0,0.0,2020-06-02 13:51:02,225.0,1.0,0.0,sunshineavenue8,short % to float of $CVA is 2.16 at 2019-05-31 https://t.co/peUrDGn5BW $CLH 2.74% $AES 2.16%,1.2678159924758323e+18,0.0
